user_id,messages,actual_volatility,predicted_volatility,prediction_mae,mood_swing_index,risk_flag,trend,recommendation
809,16,0.2474733293056488,0.22874475536601885,0.25292120804078877,0.5516117399395214,High,Improving,Monitor recent conversation context and collect more timely feedback labels.
678,14,0.24730001389980316,0.22716434001922609,0.4148415153225263,0.5500696117456154,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
777,14,0.2730615437030792,0.1770400248467922,0.10830600094050169,0.5473199867089632,Medium,Worsening,Add recent labeled samples and review time-of-day interaction patterns.
44,31,0.2632133364677429,0.18839794126423923,0.2813750751640486,0.5420201830368454,Medium,Stable,Add recent labeled samples and review time-of-day interaction patterns.
272,76,0.24237599968910217,0.20959601618363452,0.2596085917885991,0.52850054014137,Medium,Improving,Add recent labeled samples and review time-of-day interaction patterns.
219,311,0.22852709889411926,0.1773285927075202,0.2216443369248052,0.4817892219836174,Medium,Stable,Add recent labeled samples and review time-of-day interaction patterns.
646,32,0.2225612848997116,0.17608074056308554,0.19892534499983108,0.47196375311491734,Medium,Worsening,Add recent labeled samples and review time-of-day interaction patterns.
734,55,0.20352593064308167,0.2050632593151101,0.26136076380251017,0.46744036496498065,Medium,Improving,Add recent labeled samples and review time-of-day interaction patterns.
64,22,0.2030142843723297,0.19685865007340908,0.2141428190017385,0.46000765336545324,Medium,Improving,Add recent labeled samples and review time-of-day interaction patterns.
756,15,0.19254997372627258,0.1640685412567109,0.16732116183266044,0.417869104435445,Medium,Improving,Add recent labeled samples and review time-of-day interaction patterns.
766,14,0.2086000144481659,0.11277500949800015,0.16826390769953528,0.3998266338535708,Medium,Improving,Add recent labeled samples and review time-of-day interaction patterns.
899,130,0.1795317828655243,0.13786620806906497,0.16601366542335066,0.3773204690113633,Medium,Worsening,Add recent labeled samples and review time-of-day interaction patterns.
10,48,0.15501277148723602,0.1602613761400183,0.2332646150054643,0.3593381939705488,Medium,Worsening,Add recent labeled samples and review time-of-day interaction patterns.
632,40,0.1673743575811386,0.1312233035963389,0.1257421780428558,0.3539609784162388,Medium,Stable,Add recent labeled samples and review time-of-day interaction patterns.
982,14,0.1441769301891327,0.16112453639507293,0.16980640341838202,0.34403898353674345,Medium,Worsening,Add recent labeled samples and review time-of-day interaction patterns.
12,115,0.1573999971151352,0.12474517151713371,0.15794923615633188,0.33395939429476823,Medium,Stable,Add recent labeled samples and review time-of-day interaction patterns.
757,12,0.14314545691013336,0.14113509158293405,0.16212713345885277,0.32624778915387037,Medium,Improving,Add recent labeled samples and review time-of-day interaction patterns.
695,18,0.1675058752298355,0.09010895962516467,0.24724563211202621,0.32069516836844747,Medium,Worsening,Add recent labeled samples and review time-of-day interaction patterns.
19,28,0.18572591245174408,0.04571856146580294,0.06142526717740111,0.31147517652473755,Medium,Worsening,Add recent labeled samples and review time-of-day interaction patterns.
62,95,0.15758298337459564,0.09446683089887767,0.12755268847237972,0.3095882386660167,Medium,Stable,Add recent labeled samples and review time-of-day interaction patterns.
89,87,0.1416616290807724,0.11924654924316713,0.1518021716649314,0.3062430468230059,Medium,Worsening,Add recent labeled samples and review time-of-day interaction patterns.
6,133,0.13534395396709442,0.11321624528030835,0.12929033154016362,0.2920058762180247,Low,Improving,Continue periodic monitoring and retrain weekly to catch drift.
597,13,0.18921667337417603,0.011182334972545505,0.010772438906133174,0.288523541116122,Low,Improving,Continue periodic monitoring and retrain weekly to catch drift.
